hhid14_9,age,marstat,sex,pidlink,dl01f,dl06,sw00,sw01,sw03,tk01a,tr11,kk01,kr03,female,fo01
314160000,20,2,3,314160007,,1,NA,NA,NA,0,NA,2,1,1,NA
314160000,24,2,1,314160010,E,2,3,3,NA,1,4,2,1,0,NA
314170000,49,2,3,314170002,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
314170000,53,2,1,314170004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
314180000,51,4,1,314180003,E,NA,3,2,3,1,2,3,1,0,1
314184100,48,2,1,314180004,E,1,3,2,3,1,4,3,1,0,1
314183100,33,2,1,314180005,E,1,4,4,5,1,3,3,1,0,1
314183100,30,2,3,314183104,E,1,3,3,4,0,3,3,1,1,1
314184100,46,2,3,314184102,E,NA,3,1,5,0,3,1,1,1,4
314184100,20,4,3,314184104,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
314190000,73,2,1,314190001,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
314190000,68,2,3,314190002,E,1,3,3,NA,0,3,2,1,1,NA
314193100,40,2,3,314190003,E,1,3,2,3,1,4,2,1,1,1
314193100,42,2,1,314190004,,1,NA,NA,NA,1,NA,2,1,0,NA
314193100,23,1,1,314190005,E,2,5,4,NA,1,4,3,1,0,NA
314190000,37,1,3,314190006,E,1,3,3,NA,1,3,2,1,1,NA
314190000,34,1,3,314190007,,1,NA,NA,NA,0,NA,3,1,1,NA
314194204,28,2,1,314190009,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
314194100,22,2,3,314194104,E,2,4,4,5,0,3,3,0,1,1
314194204,26,2,3,314194204,E,1,4,2,NA,1,2,4,1,1,NA
314200000,55,2,1,314200001,E,1,3,3,2,1,4,3,1,0,-1
314200000,54,2,3,314200002,E,1,4,3,3,0,3,2,1,1,0
314200000,19,2,1,314200005,E,2,5,2,3,1,3,3,1,0,1
314200000,16,1,1,314200006,E,1,4,3,4,1,2,2,1,0,1
314410000,61,2,1,314410001,E,1,3,3,4,0,2,2,1,0,1
314410000,58,2,3,314410002,E,1,3,3,4,0,3,3,1,1,1
314410000,31,2,3,314410004,E,1,2,1,2,1,4,3,1,1,1
314410000,30,2,1,314410008,E,1,2,2,3,1,3,2,1,0,1
314420000,49,2,1,314420001,E,NA,4,2,3,1,3,4,1,0,1
314420000,53,2,3,314420002,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
314420000,34,4,3,314420003,E,1,3,3,NA,0,2,4,1,1,NA
314424100,29,2,1,314420005,E,1,4,3,5,1,4,3,1,0,2
314420000,24,1,1,314420006,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
314420000,69,4,3,314420007,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
314424100,22,2,3,314424103,E,1,4,3,4,0,3,3,1,1,1
315010000,62,2,1,315010001,,NA,NA,NA,NA,0,NA,3,1,0,NA
315010000,61,2,3,315010002,,NA,NA,NA,NA,0,NA,2,1,1,NA
315013100,38,2,1,315010003,E,2,4,4,5,1,3,4,1,0,1
315010000,29,2,3,315010004,E,2,4,3,4,0,4,3,1,1,1
315010000,31,2,1,315010005,E,1,4,3,4,1,3,3,1,0,1
315013100,33,2,3,315013103,E,2,5,3,NA,0,3,3,1,1,NA
315030000,26,2,3,315030004,E,1,4,3,3,0,2,3,0,1,0
315030000,71,5,3,315030006,E,NA,3,3,4,NA,NA,NA,0,1,1
315040000,51,5,3,315040002,E,1,2,2,NA,0,3,3,1,1,NA
315040000,36,4,3,315040004,E,1,4,4,2,1,3,2,1,1,-2
